region,status,wp2_slope,bfs_slope,ms_slope,wp2_stars,bfs_hac_stars,bfs_ols_stars,ms_stars,slope_changed,stars_changed
Norte,total,0.624,0.958,,*,***,***,,True,True
Norte-Occidente,total,0.626,0.342,,***,**,***,,True,True
Centro-Norte,total,-1.022,-0.954,,*,*,***,,True,False
Centro,total,3.426,3.398,,***,***,***,,True,False
Sur,total,-0.143,0.026,,ns,ns,ns,,True,False
Bajio,total,-0.307,-0.307,,ns,ns,*,,False,False
Norte,nl,0.59,0.659,,**,***,***,,True,True
Norte-Occidente,nl,0.503,0.391,,***,**,***,,True,True
Centro-Norte,nl,-0.734,-0.963,,*,**,***,,True,True
Centro,nl,4.962,4.941,4.96,***,***,***,***,True,False
Sur,nl,0.299,-0.029,,*,ns,ns,,True,True
Bajio,nl,0.501,0.501,0.5,***,***,***,***,False,False
Norte,la,1.012,1.285,,***,***,***,,True,False
Norte-Occidente,la,0.826,0.334,,***,***,***,,True,False
Centro-Norte,la,-0.022,-0.035,,ns,ns,ns,,False,False
Centro,la,3.63,3.489,,***,***,***,,True,False
Sur,la,0.029,-0.119,,ns,ns,ns,,True,False
Bajio,la,-0.346,-0.346,,ns,ns,**,,False,False
Norte,ld,0.734,0.742,,***,***,***,,False,False
Norte-Occidente,ld,-0.08,0.009,0.08,ns,ns,ns,ns,True,False
Centro-Norte,ld,-0.202,-0.08,-0.05,ns,ns,ns,ns,True,False
Centro,ld,1.216,0.955,,***,***,***,,True,False
Sur,ld,-0.078,0.017,0.03,ns,ns,ns,ns,True,False
Bajio,ld,0.148,0.148,,ns,ns,*,,False,False
