region,status_id,status,slope_yr,hac_se_yr,hac_t,hac_p,hac_stars,ols_se_yr,ols_t,ols_p,ols_stars,n
Norte,0,total,0.958,0.2182,4.391,0.0,***,0.1074,8.92,0.0,***,132
Norte-Occidente,0,total,0.342,0.1104,3.099,0.0024,**,0.0832,4.112,0.0001,***,132
Centro-Norte,0,total,-0.954,0.4083,-2.336,0.021,*,0.1514,-6.297,0.0,***,132
Centro,0,total,3.398,0.9532,3.565,0.0005,***,0.396,8.581,0.0,***,132
Sur,0,total,0.026,0.1198,0.217,0.8286,ns,0.0803,0.324,0.7467,ns,132
Bajio,0,total,-0.307,0.4234,-0.725,0.4696,ns,0.1237,-2.482,0.0143,*,132
Norte,7,nl,0.659,0.1778,3.708,0.0003,***,0.1277,5.164,0.0,***,132
Norte-Occidente,7,nl,0.391,0.1472,2.654,0.0089,**,0.0912,4.284,0.0,***,132
Centro-Norte,7,nl,-0.963,0.316,-3.047,0.0028,**,0.1363,-7.061,0.0,***,132
Centro,7,nl,4.941,0.4629,10.674,0.0,***,0.2077,23.796,0.0,***,132
Sur,7,nl,-0.029,0.0681,-0.42,0.675,ns,0.0604,-0.473,0.6367,ns,132
Bajio,7,nl,0.501,0.1484,3.379,0.001,***,0.0728,6.89,0.0,***,132
Norte,2,la,1.285,0.197,6.521,0.0,***,0.1042,12.328,0.0,***,132
Norte-Occidente,2,la,0.334,0.0643,5.187,0.0,***,0.0491,6.798,0.0,***,132
Centro-Norte,2,la,-0.035,0.2795,-0.126,0.9002,ns,0.1204,-0.292,0.7709,ns,132
Centro,2,la,3.489,0.951,3.669,0.0004,***,0.4033,8.652,0.0,***,132
Sur,2,la,-0.119,0.0892,-1.332,0.1853,ns,0.0816,-1.456,0.1479,ns,132
Bajio,2,la,-0.346,0.44,-0.787,0.4328,ns,0.1295,-2.673,0.0085,**,132
Norte,3,ld,0.742,0.1299,5.71,0.0,***,0.078,9.517,0.0,***,132
Norte-Occidente,3,ld,0.009,0.0523,0.163,0.8705,ns,0.0568,0.15,0.8807,ns,132
Centro-Norte,3,ld,-0.08,0.2313,-0.344,0.7316,ns,0.0955,-0.833,0.4065,ns,132
Centro,3,ld,0.955,0.1652,5.782,0.0,***,0.1412,6.767,0.0,***,132
Sur,3,ld,0.017,0.0279,0.602,0.5485,ns,0.0342,0.49,0.6248,ns,132
Bajio,3,ld,0.148,0.1099,1.345,0.1808,ns,0.0579,2.552,0.0119,*,132
