task,check,observed,expected,verdict,note
2.12,n_municipalities_panel,2478,2478,PASS,
2.12,n_months,132,132,PASS,
2.12,lisa_runs,1584,1584,PASS,4 status × 3 sex × 132 months
2.12,persons_total_JQC,263402,263402,PASS,after broad exclusion
2.1,conc_rows,528,528,PASS,4 statuses × 132 months
2.1,gini_recompute_max_diff,0.0,,N/A,max abs diff vs stored (mean=0.000000)
2.1,gini_mean_total,0.935,0.935,PASS,
2.1,gini_min_total,0.915,0.915,PASS,
2.1,gini_max_total,0.958,0.958,PASS,
2.1,gini_mean_nl,0.946,0.946,PASS,
2.1,gini_min_nl,0.926,0.926,PASS,
2.1,gini_max_nl,0.966,0.966,PASS,
2.1,gini_mean_la,0.955,0.955,PASS,
2.1,gini_min_la,0.935,0.935,PASS,
2.1,gini_max_la,0.978,0.978,PASS,
2.1,gini_mean_ld,0.979,0.979,PASS,
2.1,gini_min_ld,0.963,0.963,PASS,
2.1,gini_max_ld,0.993,0.993,PASS,
2.1,gini_trend_total,-0.004,-0.004,PASS,
2.1,gini_trend_nl,-0.003,-0.003,PASS,
2.1,gini_trend_la,-0.004,-0.004,PASS,
2.1,gini_trend_ld,-0.002,-0.002,PASS,
2.1,jun25_50pct_munis_NL,42,42,PASS,50% of NL in 42 muni (1.7%)
2.1,jun25_50pct_munis_LD,22,22,PASS,50% of LD in 22 (0.9%)
2.1,jun25_50pct_munis_Total,48,48,PASS,50% of Total in 48 (1.9%)
2.2,morans_rows,528,528,PASS,4 statuses × 132 months
2.2,n_significant_total,132,132,PASS,
2.2,n_significant_nl,132,132,PASS,
2.2,n_significant_la,127,127,PASS,
2.2,n_significant_ld,122,122,PASS,
2.2,moran_mean_total,0.199,0.199,PASS,
2.2,moran_min_total,0.038,0.038,PASS,
2.2,moran_max_total,0.374,0.374,PASS,
2.2,moran_mean_nl,0.163,0.163,PASS,
2.2,moran_min_nl,0.043,0.043,PASS,
2.2,moran_max_nl,0.28,0.28,PASS,
2.2,moran_mean_la,0.187,0.187,PASS,
2.2,moran_min_la,0.011,0.011,PASS,
2.2,moran_max_la,0.401,0.401,PASS,
2.2,moran_mean_ld,0.101,0.101,PASS,
2.2,moran_min_ld,-0.006,-0.006,PASS,
2.2,moran_max_ld,0.297,0.298,PASS,
2.2,moran_trend_total,0.019,0.019,PASS,
2.2,moran_trend_nl,0.007,0.007,PASS,
2.2,moran_trend_la,0.02,0.02,PASS,
