region,status_id,status,slope_yr,p_value,stars,expected_slope
Bajio,0,total,-0.307,0.4696,ns,
Centro,0,total,3.426,0.0002,***,
Centro-Norte,0,total,-1.022,0.0355,*,
Norte,0,total,0.624,0.0156,*,
Norte-Occidente,0,total,0.626,0.0,***,
Sur,0,total,-0.143,0.3682,ns,
Bajio,7,nl,0.501,0.001,***,0.5
Centro,7,nl,4.962,0.0,***,4.96
Centro-Norte,7,nl,-0.734,0.0284,*,
Norte,7,nl,0.59,0.0022,**,
Norte-Occidente,7,nl,0.503,0.0,***,
Sur,7,nl,0.299,0.0153,*,
Bajio,2,la,-0.346,0.4328,ns,
Centro,2,la,3.63,0.0003,***,
Centro-Norte,2,la,-0.022,0.943,ns,
Norte,2,la,1.012,0.0001,***,
Norte-Occidente,2,la,0.826,0.0,***,
Sur,2,la,0.029,0.8187,ns,
Bajio,3,ld,0.148,0.1808,ns,
Centro,3,ld,1.216,0.0,***,
Centro-Norte,3,ld,-0.202,0.5983,ns,
Norte,3,ld,0.734,0.0,***,
Norte-Occidente,3,ld,-0.08,0.3913,ns,
Sur,3,ld,-0.078,0.355,ns,
