region,status,mean_y,ols_slope_yr,ols_hac_p,ols_hac_stars,pois_irr_yr,pois_lin_equiv_yr,pois_hac_p,pois_converged,nb_alpha,pois_holm_p,pois_holm_stars,pois_hac_stars,sign_change,stars_change_pois_vs_ols,stars_change_holm_vs_pois
Norte,total,12.38,0.958,0.0,***,1.0815,1.009,0.0006,True,0.0445,0.0108,*,***,False,False,True
Norte-Occidente,total,2.91,0.342,0.0024,**,1.1286,0.374,0.0018,True,1.2825,0.0306,*,**,False,False,True
Centro-Norte,total,8.78,-0.954,0.021,*,0.8947,-0.925,0.0302,True,0.5947,0.3322,ns,*,False,False,True
Centro,total,40.32,3.398,0.0005,***,1.0893,3.6,0.003,True,0.2019,0.042,*,**,False,True,True
Sur,total,1.82,0.026,0.8286,ns,1.0144,0.026,0.822,True,4.1273,1.0,ns,ns,False,False,False
Bajio,total,5.61,-0.307,0.4696,ns,0.9464,-0.301,0.4476,True,0.4058,1.0,ns,ns,False,False,False
Norte,nl,11.05,0.659,0.0003,***,1.0619,0.684,0.0005,True,0.1082,0.0095,**,***,False,False,True
Norte-Occidente,nl,3.23,0.391,0.0089,**,1.1329,0.429,0.0038,True,1.4266,0.0494,*,**,False,False,True
Centro-Norte,nl,8.2,-0.963,0.0028,**,0.8862,-0.933,0.0117,True,0.5794,0.1404,ns,*,False,True,True
Centro,nl,23.34,4.941,0.0,***,1.2637,6.156,0.0,True,0.0793,0.0,***,***,False,False,False
Sur,nl,1.5,-0.029,0.675,ns,0.9811,-0.028,0.685,True,3.6885,1.0,ns,ns,False,False,False
Bajio,nl,4.08,0.501,0.001,**,1.1354,0.552,0.0019,True,0.2433,0.0306,*,**,False,False,True
Norte,la,10.45,1.285,0.0,***,1.1353,1.413,0.0,True,0.1602,0.0,***,***,False,False,False
Norte-Occidente,la,1.28,0.334,0.0,***,1.3584,0.459,0.0,True,2.1291,0.0,***,***,False,False,False
Centro-Norte,la,5.36,-0.035,0.9002,ns,0.9935,-0.035,0.8999,True,0.9039,1.0,ns,ns,False,False,False
Centro,la,39.98,3.489,0.0004,***,1.0927,3.706,0.0022,True,0.2164,0.033,*,**,False,True,True
Sur,la,2.0,-0.119,0.1853,ns,0.9419,-0.116,0.1918,True,3.7351,1.0,ns,ns,False,False,False
Bajio,la,4.72,-0.346,0.4328,ns,0.9285,-0.337,0.3936,True,0.6638,1.0,ns,ns,False,False,False
Norte,ld,3.69,0.742,0.0,***,1.246,0.908,0.0,True,0.7479,0.0,***,***,False,False,False
Norte-Occidente,ld,1.05,0.009,0.8705,ns,1.0082,0.009,0.8691,True,6.7406,1.0,ns,ns,False,False,False
Centro-Norte,ld,3.0,-0.08,0.7316,ns,0.9738,-0.079,0.7265,True,2.4897,1.0,ns,ns,False,False,False
Centro,ld,6.12,0.955,0.0,***,1.1786,1.094,0.0,True,1.0714,0.0,***,***,False,False,False
Sur,ld,0.29,0.017,0.5485,ns,1.0604,0.017,0.553,True,32.1026,1.0,ns,ns,False,False,False
Bajio,ld,1.73,0.148,0.1808,ns,1.0904,0.157,0.1554,True,1.207,1.0,ns,ns,False,False,False
