break_idx,year,month,chow_F,grid
12,2016,1,63.162,plan_Jan2016_Dec2021
13,2016,2,69.347,plan_Jan2016_Dec2021
14,2016,3,79.04,plan_Jan2016_Dec2021
15,2016,4,77.622,plan_Jan2016_Dec2021
16,2016,5,74.855,plan_Jan2016_Dec2021
17,2016,6,75.992,plan_Jan2016_Dec2021
18,2016,7,76.488,plan_Jan2016_Dec2021
19,2016,8,79.012,plan_Jan2016_Dec2021
20,2016,9,77.921,plan_Jan2016_Dec2021
21,2016,10,77.885,plan_Jan2016_Dec2021
22,2016,11,77.949,plan_Jan2016_Dec2021
23,2017,12,77.972,plan_Jan2016_Dec2021
24,2017,1,78.125,plan_Jan2016_Dec2021
25,2017,2,77.72,plan_Jan2016_Dec2021
26,2017,3,77.934,plan_Jan2016_Dec2021
27,2017,4,76.947,plan_Jan2016_Dec2021
28,2017,5,75.246,plan_Jan2016_Dec2021
29,2017,6,71.373,plan_Jan2016_Dec2021
30,2017,7,70.642,plan_Jan2016_Dec2021
31,2017,8,69.38,plan_Jan2016_Dec2021
32,2017,9,68.504,plan_Jan2016_Dec2021
33,2017,10,67.094,plan_Jan2016_Dec2021
34,2017,11,65.695,plan_Jan2016_Dec2021
35,2018,12,64.316,plan_Jan2016_Dec2021
36,2018,1,62.582,plan_Jan2016_Dec2021
37,2018,2,61.019,plan_Jan2016_Dec2021
38,2018,3,58.854,plan_Jan2016_Dec2021
39,2018,4,57.48,plan_Jan2016_Dec2021
40,2018,5,57.185,plan_Jan2016_Dec2021
41,2018,6,57.008,plan_Jan2016_Dec2021
42,2018,7,56.369,plan_Jan2016_Dec2021
43,2018,8,55.929,plan_Jan2016_Dec2021
44,2018,9,55.251,plan_Jan2016_Dec2021
45,2018,10,54.786,plan_Jan2016_Dec2021
46,2018,11,54.089,plan_Jan2016_Dec2021
47,2019,12,54.31,plan_Jan2016_Dec2021
48,2019,1,54.242,plan_Jan2016_Dec2021
49,2019,2,54.147,plan_Jan2016_Dec2021
50,2019,3,54.023,plan_Jan2016_Dec2021
51,2019,4,53.426,plan_Jan2016_Dec2021
52,2019,5,51.932,plan_Jan2016_Dec2021
53,2019,6,51.353,plan_Jan2016_Dec2021
54,2019,7,50.311,plan_Jan2016_Dec2021
55,2019,8,48.873,plan_Jan2016_Dec2021
56,2019,9,46.811,plan_Jan2016_Dec2021
57,2019,10,46.361,plan_Jan2016_Dec2021
58,2019,11,45.525,plan_Jan2016_Dec2021
59,2020,12,44.699,plan_Jan2016_Dec2021
60,2020,1,43.214,plan_Jan2016_Dec2021
61,2020,2,41.624,plan_Jan2016_Dec2021
62,2020,3,40.528,plan_Jan2016_Dec2021
