region,status,slope_full_yr,stars_full,slope_trunc_yr,stars_trunc,slope_abs_diff,stars_changed
Norte,total,0.958,***,1.017,***,0.059,False
Norte-Occidente,total,0.342,**,0.341,**,0.001,False
Centro-Norte,total,-0.954,*,-0.897,ns,0.057,True
Centro,total,3.398,***,3.23,**,0.168,True
Sur,total,0.026,ns,0.043,ns,0.017,False
Bajio,total,-0.307,ns,-0.516,ns,0.209,False
Norte,nl,0.659,***,0.746,***,0.087,False
Norte-Occidente,nl,0.391,**,0.248,**,0.143,False
Centro-Norte,nl,-0.963,**,-0.938,*,0.025,True
Centro,nl,4.941,***,4.763,***,0.178,False
Sur,nl,-0.029,ns,-0.005,ns,0.024,False
Bajio,nl,0.501,**,0.398,**,0.103,False
Norte,la,1.285,***,1.416,***,0.131,False
Norte-Occidente,la,0.334,***,0.349,***,0.015,False
Centro-Norte,la,-0.035,ns,0.02,ns,0.055,False
Centro,la,3.489,***,3.491,***,0.002,False
Sur,la,-0.119,ns,-0.123,ns,0.004,False
Bajio,la,-0.346,ns,-0.577,ns,0.231,False
Norte,ld,0.742,***,0.863,***,0.121,False
Norte-Occidente,ld,0.009,ns,0.04,ns,0.031,False
Centro-Norte,ld,-0.08,ns,-0.011,ns,0.069,False
Centro,ld,0.955,***,1.072,***,0.117,False
Sur,ld,0.017,ns,0.028,ns,0.011,False
Bajio,ld,0.148,ns,0.149,ns,0.001,False
