cvegeo,municipality,state,status_id,status,n_pre_hh,pre_persistence,n_post_hh,post_persistence
01001,Aguascalientes,Aguascalientes,0,total,0,0.0,6,0.056
01001,Aguascalientes,Aguascalientes,7,nl,6,0.25,12,0.111
01001,Aguascalientes,Aguascalientes,2,la,0,0.0,2,0.019
01001,Aguascalientes,Aguascalientes,3,ld,2,0.083,15,0.139
01005,Jesús María,Aguascalientes,0,total,20,0.833,68,0.63
01005,Jesús María,Aguascalientes,7,nl,0,0.0,2,0.019
01005,Jesús María,Aguascalientes,2,la,19,0.792,74,0.685
01005,Jesús María,Aguascalientes,3,ld,0,0.0,7,0.065
01011,San Francisco de los Romo,Aguascalientes,0,total,14,0.583,49,0.454
01011,San Francisco de los Romo,Aguascalientes,7,nl,0,0.0,4,0.037
01011,San Francisco de los Romo,Aguascalientes,2,la,14,0.583,54,0.5
01011,San Francisco de los Romo,Aguascalientes,3,ld,0,0.0,5,0.046
11003,San Miguel de Allende,Guanajuato,0,total,18,0.75,14,0.13
11003,San Miguel de Allende,Guanajuato,7,nl,0,0.0,10,0.093
11003,San Miguel de Allende,Guanajuato,2,la,18,0.75,13,0.12
11003,San Miguel de Allende,Guanajuato,3,ld,4,0.167,6,0.056
11005,Apaseo el Grande,Guanajuato,0,total,12,0.5,42,0.389
11005,Apaseo el Grande,Guanajuato,7,nl,2,0.083,40,0.37
11005,Apaseo el Grande,Guanajuato,2,la,10,0.417,14,0.13
11005,Apaseo el Grande,Guanajuato,3,ld,1,0.042,5,0.046
11007,Celaya,Guanajuato,0,total,7,0.292,1,0.009
11007,Celaya,Guanajuato,7,nl,0,0.0,42,0.389
11007,Celaya,Guanajuato,2,la,9,0.375,0,0.0
11007,Celaya,Guanajuato,3,ld,3,0.125,11,0.102
11009,Comonfort,Guanajuato,0,total,14,0.583,21,0.194
11009,Comonfort,Guanajuato,7,nl,0,0.0,23,0.213
11009,Comonfort,Guanajuato,2,la,13,0.542,8,0.074
11009,Comonfort,Guanajuato,3,ld,3,0.125,5,0.046
11011,Cortázar,Guanajuato,0,total,12,0.5,30,0.278
11011,Cortázar,Guanajuato,7,nl,1,0.042,53,0.491
11011,Cortázar,Guanajuato,2,la,11,0.458,9,0.083
11011,Cortázar,Guanajuato,3,ld,1,0.042,9,0.083
11015,Guanajuato,Guanajuato,0,total,16,0.667,26,0.241
11015,Guanajuato,Guanajuato,7,nl,0,0.0,37,0.343
11015,Guanajuato,Guanajuato,2,la,16,0.667,20,0.185
11015,Guanajuato,Guanajuato,3,ld,4,0.167,8,0.074
11017,Irapuato,Guanajuato,0,total,14,0.583,9,0.083
11017,Irapuato,Guanajuato,7,nl,0,0.0,26,0.241
11017,Irapuato,Guanajuato,2,la,16,0.667,7,0.065
11017,Irapuato,Guanajuato,3,ld,4,0.167,21,0.194
11020,León,Guanajuato,0,total,15,0.625,5,0.046
11020,León,Guanajuato,7,nl,7,0.292,21,0.194
11020,León,Guanajuato,2,la,14,0.583,7,0.065
11020,León,Guanajuato,3,ld,4,0.167,12,0.111
11021,Moroleón,Guanajuato,0,total,0,0.0,0,0.0
11021,Moroleón,Guanajuato,7,nl,0,0.0,4,0.037
11021,Moroleón,Guanajuato,2,la,1,0.042,0,0.0
11021,Moroleón,Guanajuato,3,ld,0,0.0,1,0.009
11023,Pénjamo,Guanajuato,0,total,0,0.0,0,0.0
11023,Pénjamo,Guanajuato,7,nl,0,0.0,7,0.065
11023,Pénjamo,Guanajuato,2,la,0,0.0,0,0.0
11023,Pénjamo,Guanajuato,3,ld,0,0.0,0,0.0
11025,Purísima del Rincón,Guanajuato,0,total,13,0.542,11,0.102
11025,Purísima del Rincón,Guanajuato,7,nl,0,0.0,13,0.12
11025,Purísima del Rincón,Guanajuato,2,la,13,0.542,10,0.093
11025,Purísima del Rincón,Guanajuato,3,ld,1,0.042,1,0.009
11027,Salamanca,Guanajuato,0,total,14,0.583,20,0.185
11027,Salamanca,Guanajuato,7,nl,0,0.0,53,0.491
11027,Salamanca,Guanajuato,2,la,15,0.625,12,0.111
11027,Salamanca,Guanajuato,3,ld,4,0.167,18,0.167
11031,San Francisco del Rincón,Guanajuato,0,total,15,0.625,16,0.148
11031,San Francisco del Rincón,Guanajuato,7,nl,1,0.042,21,0.194
11031,San Francisco del Rincón,Guanajuato,2,la,14,0.583,17,0.157
11031,San Francisco del Rincón,Guanajuato,3,ld,0,0.0,7,0.065
11037,Silao de la Victoria,Guanajuato,0,total,18,0.75,47,0.435
11037,Silao de la Victoria,Guanajuato,7,nl,0,0.0,55,0.509
11037,Silao de la Victoria,Guanajuato,2,la,17,0.708,20,0.185
11037,Silao de la Victoria,Guanajuato,3,ld,1,0.042,16,0.148
11041,Uriangato,Guanajuato,0,total,0,0.0,0,0.0
11041,Uriangato,Guanajuato,7,nl,0,0.0,2,0.019
11041,Uriangato,Guanajuato,2,la,1,0.042,0,0.0
11041,Uriangato,Guanajuato,3,ld,1,0.042,0,0.0
11044,Villagrán,Guanajuato,0,total,15,0.625,51,0.472
11044,Villagrán,Guanajuato,7,nl,1,0.042,77,0.713
11044,Villagrán,Guanajuato,2,la,10,0.417,9,0.083
11044,Villagrán,Guanajuato,3,ld,0,0.0,10,0.093
16069,La Piedad,Michoacán,0,total,0,0.0,0,0.0
16069,La Piedad,Michoacán,7,nl,1,0.042,3,0.028
16069,La Piedad,Michoacán,2,la,0,0.0,0,0.0
16069,La Piedad,Michoacán,3,ld,0,0.0,0,0.0
22006,Corregidora,Querétaro,0,total,12,0.5,19,0.176
22006,Corregidora,Querétaro,7,nl,0,0.0,7,0.065
22006,Corregidora,Querétaro,2,la,14,0.583,18,0.167
22006,Corregidora,Querétaro,3,ld,1,0.042,9,0.083
22008,Huimilpan,Querétaro,0,total,3,0.125,3,0.028
22008,Huimilpan,Querétaro,7,nl,0,0.0,0,0.0
22008,Huimilpan,Querétaro,2,la,3,0.125,5,0.046
22008,Huimilpan,Querétaro,3,ld,0,0.0,3,0.028
22011,El Marqués,Querétaro,0,total,10,0.417,8,0.074
22011,El Marqués,Querétaro,7,nl,0,0.0,3,0.028
22011,El Marqués,Querétaro,2,la,14,0.583,16,0.148
22011,El Marqués,Querétaro,3,ld,0,0.0,8,0.074
22014,Querétaro,Querétaro,0,total,11,0.458,0,0.0
22014,Querétaro,Querétaro,7,nl,0,0.0,2,0.019
22014,Querétaro,Querétaro,2,la,13,0.542,0,0.0
22014,Querétaro,Querétaro,3,ld,4,0.167,6,0.056
22016,San Juan del Río,Querétaro,0,total,0,0.0,0,0.0
22016,San Juan del Río,Querétaro,7,nl,0,0.0,0,0.0
22016,San Juan del Río,Querétaro,2,la,0,0.0,0,0.0
