cvegeo,municipality,state,region,status_id,status,n_months_hh,persistence
15058,nezahualcoyotl,mexico,Centro,0,total,120,0.9090909090909091
15104,tlalnepantla de baz,mexico,Centro,0,total,116,0.8787878787878788
15033,ecatepec de morelos,mexico,Centro,0,total,114,0.8636363636363636
19026,guadalupe,nuevo leon,Norte,0,total,114,0.8636363636363636
15070,la paz,mexico,Centro,0,total,112,0.8484848484848485
19046,san nicolas de los garza,nuevo leon,Norte,0,total,112,0.8484848484848485
19031,juarez,nuevo leon,Norte,0,total,111,0.8409090909090909
15099,texcoco,mexico,Centro,0,total,107,0.8106060606060606
15109,tultitlan,mexico,Centro,0,total,106,0.803030303030303
15031,chimalhuacan,mexico,Centro,0,total,105,0.7954545454545454
09007,iztapalapa,ciudad de mexico,Centro,0,total,104,0.7878787878787878
15020,coacalco de berriozabal,mexico,Centro,0,total,102,0.7727272727272727
09005,gustavo a madero,ciudad de mexico,Centro,0,total,101,0.7651515151515151
15122,valle de chalco solidaridad,mexico,Centro,0,total,101,0.7651515151515151
19021,general escobedo,nuevo leon,Norte,0,total,101,0.7651515151515151
15029,chicoloapan,mexico,Centro,0,total,100,0.7575757575757576
19018,garcia,nuevo leon,Norte,0,total,100,0.7575757575757576
19039,monterrey,nuevo leon,Norte,0,total,100,0.7575757575757576
09017,venustiano carranza,ciudad de mexico,Centro,0,total,99,0.75
15121,cuautitlan izcalli,mexico,Centro,0,total,99,0.75
15013,atizapan de zaragoza,mexico,Centro,0,total,98,0.7424242424242424
15039,ixtapaluca,mexico,Centro,0,total,94,0.7121212121212122
19006,apodaca,nuevo leon,Norte,0,total,94,0.7121212121212122
19048,santa catarina,nuevo leon,Norte,0,total,93,0.7045454545454546
09002,azcapotzalco,ciudad de mexico,Centro,0,total,90,0.6818181818181818
09006,iztacalco,ciudad de mexico,Centro,0,total,89,0.6742424242424242
15051,lerma,mexico,Centro,0,total,89,0.6742424242424242
14039,guadalajara,jalisco,Centro-Norte,0,total,88,0.6666666666666666
14098,san pedro tlaquepaque,jalisco,Centro-Norte,0,total,88,0.6666666666666666
15081,tecamac,mexico,Centro,0,total,88,0.6666666666666666
19009,cadereyta jimenez,nuevo leon,Norte,0,total,88,0.6666666666666666
14101,tonala,jalisco,Centro-Norte,0,total,87,0.6590909090909091
19019,san pedro garza garcia,nuevo leon,Norte,0,total,86,0.6515151515151515
09011,tlahuac,ciudad de mexico,Centro,0,total,84,0.6363636363636364
09014,benito juarez,ciudad de mexico,Centro,0,total,84,0.6363636363636364
09015,cuauhtemoc,ciudad de mexico,Centro,0,total,84,0.6363636363636364
09016,miguel hidalgo,ciudad de mexico,Centro,0,total,84,0.6363636363636364
14120,zapopan,jalisco,Centro-Norte,0,total,84,0.6363636363636364
09003,coyoacan,ciudad de mexico,Centro,0,total,83,0.6287878787878788
14070,el salto,jalisco,Centro-Norte,0,total,83,0.6287878787878788
15057,naucalpan de juarez,mexico,Centro,0,total,83,0.6287878787878788
09013,xochimilco,ciudad de mexico,Centro,0,total,82,0.6212121212121212
15054,metepec,mexico,Centro,0,total,82,0.6212121212121212
14097,tlajomulco de zuniga,jalisco,Centro-Norte,0,total,81,0.6136363636363636
15076,san mateo atenco,mexico,Centro,0,total,77,0.5833333333333334
19041,pesqueria,nuevo leon,Norte,0,total,77,0.5833333333333334
15002,acolman,mexico,Centro,0,total,76,0.5757575757575758
15037,huixquilucan,mexico,Centro,0,total,72,0.5454545454545454
15067,otzolotepec,mexico,Centro,0,total,72,0.5454545454545454
09010,alvaro obregon,ciudad de mexico,Centro,0,total,71,0.5378787878787878
15024,cuautitlan,mexico,Centro,0,total,69,0.5227272727272727
19025,general zuazua,nuevo leon,Norte,0,total,66,0.5
14083,tala,jalisco,Centro-Norte,0,total,65,0.49242424242424243
15005,almoloya de juarez,mexico,Centro,0,total,63,0.4772727272727273
15011,atenco,mexico,Centro,0,total,63,0.4772727272727273
09004,cuajimalpa de morelos,ciudad de mexico,Centro,0,total,61,0.4621212121212121
15118,zinacantepec,mexico,Centro,0,total,60,0.45454545454545453
15060,nicolas romero,mexico,Centro,0,total,59,0.44696969696969696
09008,la magdalena contreras,ciudad de mexico,Centro,0,total,58,0.4393939393939394
15087,temoaya,mexico,Centro,0,total,56,0.42424242424242425
19045,salinas victoria,nuevo leon,Norte,0,total,56,0.42424242424242425
09012,tlalpan,ciudad de mexico,Centro,0,total,54,0.4090909090909091
19049,santiago,nuevo leon,Norte,0,total,54,0.4090909090909091
15115,xonacatlan,mexico,Centro,0,total,53,0.4015151515151515
14044,ixtlahuacan de los membrillos,jalisco,Centro-Norte,0,total,52,0.3939393939393939
15095,tepotzotlan,mexico,Centro,0,total,52,0.3939393939393939
21041,cuautlancingo,puebla,Centro,0,total,52,0.3939393939393939
21119,san andres cholula,puebla,Centro,0,total,52,0.3939393939393939
21140,san pedro cholula,puebla,Centro,0,total,52,0.3939393939393939
15090,tenango del valle,mexico,Centro,0,total,47,0.3560606060606061
15018,calimaya,mexico,Centro,0,total,45,0.3409090909090909
15062,ocoyoacac,mexico,Centro,0,total,45,0.3409090909090909
14124,zapotlanejo,jalisco,Centro-Norte,0,total,44,0.3333333333333333
17011,jiutepec,morelos,Centro,0,total,44,0.3333333333333333
