region,status,denom,slope_pct_yr,hac_se_pct_yr,ols_p,ols_stars,hac_p,hac_stars,pois_irr_yr,pois_hac_p,pois_hac_stars,holm_p,holm_stars
Norte,total,278,0.3447,0.0785,0.0,***,0.0,***,1.0815,0.0004,***,0.0004,***
Norte,nl,278,0.2372,0.064,0.0,***,0.0003,***,1.0619,0.0003,***,0.0055,**
Norte,la,278,0.4621,0.0709,0.0,***,0.0,***,1.1353,0.0,***,0.0,***
Norte,ld,278,0.2669,0.0467,0.0,***,0.0,***,1.246,0.0,***,0.0,***
Norte-Occidente,total,142,0.2409,0.0777,0.0001,***,0.0024,**,1.1286,0.0013,**,0.0333,*
Norte-Occidente,nl,142,0.2751,0.1036,0.0,***,0.0089,**,1.1329,0.0029,**,0.1074,ns
Norte-Occidente,la,142,0.2349,0.0453,0.0,***,0.0,***,1.3584,0.0,***,0.0,***
Norte-Occidente,ld,142,0.006,0.0369,0.8807,ns,0.8705,ns,1.0082,0.8679,ns,1.0,ns
Centro-Norte,total,318,-0.2999,0.1284,0.0,***,0.021,*,0.8947,0.0272,*,0.2314,ns
Centro-Norte,nl,318,-0.3027,0.0994,0.0,***,0.0028,**,0.8862,0.01,**,0.0365,*
Centro-Norte,la,318,-0.011,0.0879,0.7709,ns,0.9002,ns,0.9935,0.8989,ns,1.0,ns
Centro-Norte,ld,318,-0.025,0.0727,0.4065,ns,0.7316,ns,0.9738,0.724,ns,1.0,ns
Centro,total,602,0.5645,0.1583,0.0,***,0.0005,***,1.0893,0.0023,**,0.0082,**
Centro,nl,602,0.8208,0.0769,0.0,***,0.0,***,1.2637,0.0,***,0.0,***
Centro,la,602,0.5796,0.158,0.0,***,0.0004,***,1.0927,0.0016,**,0.006,**
Centro,ld,602,0.1587,0.0274,0.0,***,0.0,***,1.1786,0.0,***,0.0,***
Sur,total,1138,0.0023,0.0105,0.7467,ns,0.8286,ns,1.0144,0.8203,ns,1.0,ns
Sur,nl,1138,-0.0025,0.006,0.6367,ns,0.675,ns,0.9811,0.682,ns,1.0,ns
Sur,la,1138,-0.0104,0.0078,0.1479,ns,0.1853,ns,0.9419,0.1861,ns,1.0,ns
Sur,ld,1138,0.0015,0.0025,0.6248,ns,0.5485,ns,1.0604,0.5489,ns,1.0,ns
Bajio,total,29,-1.0588,1.46,0.0143,*,0.4696,ns,0.9464,0.4428,ns,1.0,ns
Bajio,nl,29,1.7292,0.5118,0.0,***,0.001,***,1.1354,0.0014,**,0.0144,*
Bajio,la,29,-1.1939,1.5174,0.0085,**,0.4328,ns,0.9285,0.3884,ns,1.0,ns
Bajio,ld,29,0.5099,0.379,0.0119,*,0.1808,ns,1.0904,0.1499,ns,1.0,ns
