region,status,slope_yr,hac_se_yr,ols_p,ols_stars,hac_p,hac_stars
Norte,total,0.9583,0.2182,0.0,***,0.0,***
Norte,nl,0.6593,0.1778,0.0,***,0.0003,***
Norte,la,1.2845,0.197,0.0,***,0.0,***
Norte,ld,0.7419,0.1299,0.0,***,0.0,***
Norte-Occidente,total,0.3421,0.1104,0.0001,***,0.0024,**
Norte-Occidente,nl,0.3906,0.1472,0.0,***,0.0089,**
Norte-Occidente,la,0.3336,0.0643,0.0,***,0.0,***
Norte-Occidente,ld,0.0085,0.0523,0.8807,ns,0.8705,ns
Centro-Norte,total,-0.9536,0.4083,0.0,***,0.021,*
Centro-Norte,nl,-0.9626,0.316,0.0,***,0.0028,**
Centro-Norte,la,-0.0351,0.2795,0.7709,ns,0.9002,ns
Centro-Norte,ld,-0.0795,0.2313,0.4065,ns,0.7316,ns
Centro,total,3.398,0.9532,0.0,***,0.0005,***
Centro,nl,4.9413,0.4629,0.0,***,0.0,***
Centro,la,3.4893,0.951,0.0,***,0.0004,***
Centro,ld,0.9552,0.1652,0.0,***,0.0,***
Sur,total,0.026,0.1198,0.7467,ns,0.8286,ns
Sur,nl,-0.0286,0.0681,0.6367,ns,0.675,ns
Sur,la,-0.1188,0.0892,0.1479,ns,0.1853,ns
Sur,ld,0.0168,0.0279,0.6248,ns,0.5485,ns
Bajio,total,-0.3071,0.4234,0.0143,*,0.4696,ns
Bajio,nl,0.5015,0.1484,0.0,***,0.001,***
Bajio,la,-0.3462,0.44,0.0085,**,0.4328,ns
Bajio,ld,0.1479,0.1099,0.0119,*,0.1808,ns
