cvegeo,cve_estado,state,cve_mun,municipality,male,female,undefined,total,year,month,status_id
01001,01,aguascalientes,001,aguascalientes,17,21,0,38,2015,1,2
01001,01,aguascalientes,001,aguascalientes,6,12,0,18,2015,2,2
01001,01,aguascalientes,001,aguascalientes,11,23,0,34,2015,3,2
01001,01,aguascalientes,001,aguascalientes,16,27,0,43,2015,4,2
01001,01,aguascalientes,001,aguascalientes,10,23,0,33,2015,5,2
01001,01,aguascalientes,001,aguascalientes,17,20,0,37,2015,6,2
01001,01,aguascalientes,001,aguascalientes,11,24,0,35,2015,7,2
01001,01,aguascalientes,001,aguascalientes,15,29,0,44,2015,8,2
01001,01,aguascalientes,001,aguascalientes,10,23,0,33,2015,9,2
01001,01,aguascalientes,001,aguascalientes,11,22,0,33,2015,10,2
01001,01,aguascalientes,001,aguascalientes,7,19,0,26,2015,11,2
01001,01,aguascalientes,001,aguascalientes,12,24,0,36,2015,12,2
01001,01,aguascalientes,001,aguascalientes,20,29,0,49,2016,1,2
01001,01,aguascalientes,001,aguascalientes,9,14,0,23,2016,2,2
01001,01,aguascalientes,001,aguascalientes,10,26,0,36,2016,3,2
01001,01,aguascalientes,001,aguascalientes,14,18,0,32,2016,4,2
01001,01,aguascalientes,001,aguascalientes,14,24,0,38,2016,5,2
01001,01,aguascalientes,001,aguascalientes,14,17,0,31,2016,6,2
01001,01,aguascalientes,001,aguascalientes,10,16,0,26,2016,7,2
01001,01,aguascalientes,001,aguascalientes,12,32,0,44,2016,8,2
01001,01,aguascalientes,001,aguascalientes,9,18,0,27,2016,9,2
01001,01,aguascalientes,001,aguascalientes,8,14,0,22,2016,10,2
01001,01,aguascalientes,001,aguascalientes,6,17,0,23,2016,11,2
01001,01,aguascalientes,001,aguascalientes,16,17,0,33,2016,12,2
01001,01,aguascalientes,001,aguascalientes,15,17,0,32,2017,1,2
01001,01,aguascalientes,001,aguascalientes,12,18,0,30,2017,2,2
01001,01,aguascalientes,001,aguascalientes,17,23,0,40,2017,3,2
01001,01,aguascalientes,001,aguascalientes,13,36,0,49,2017,4,2
01001,01,aguascalientes,001,aguascalientes,17,28,0,45,2017,5,2
01001,01,aguascalientes,001,aguascalientes,19,22,0,41,2017,6,2
01001,01,aguascalientes,001,aguascalientes,14,17,0,31,2017,7,2
01001,01,aguascalientes,001,aguascalientes,10,20,0,30,2017,8,2
01001,01,aguascalientes,001,aguascalientes,9,14,0,23,2017,9,2
01001,01,aguascalientes,001,aguascalientes,15,37,0,52,2017,10,2
01001,01,aguascalientes,001,aguascalientes,15,29,0,44,2017,11,2
01001,01,aguascalientes,001,aguascalientes,11,13,0,24,2017,12,2
01001,01,aguascalientes,001,aguascalientes,16,8,0,24,2018,1,2
01001,01,aguascalientes,001,aguascalientes,13,21,0,34,2018,2,2
01001,01,aguascalientes,001,aguascalientes,7,23,0,30,2018,3,2
01001,01,aguascalientes,001,aguascalientes,18,27,0,45,2018,4,2
01001,01,aguascalientes,001,aguascalientes,15,34,0,49,2018,5,2
01001,01,aguascalientes,001,aguascalientes,9,17,0,26,2018,6,2
01001,01,aguascalientes,001,aguascalientes,18,24,0,42,2018,7,2
01001,01,aguascalientes,001,aguascalientes,22,17,0,39,2018,8,2
01001,01,aguascalientes,001,aguascalientes,20,29,0,49,2018,9,2
01001,01,aguascalientes,001,aguascalientes,19,27,0,46,2018,10,2
01001,01,aguascalientes,001,aguascalientes,21,17,0,38,2018,11,2
01001,01,aguascalientes,001,aguascalientes,21,13,0,34,2018,12,2
01001,01,aguascalientes,001,aguascalientes,19,24,0,43,2019,1,2
01001,01,aguascalientes,001,aguascalientes,17,20,0,37,2019,2,2
01001,01,aguascalientes,001,aguascalientes,14,25,0,39,2019,3,2
01001,01,aguascalientes,001,aguascalientes,26,30,0,56,2019,4,2
01001,01,aguascalientes,001,aguascalientes,16,19,0,35,2019,5,2
01001,01,aguascalientes,001,aguascalientes,18,23,0,41,2019,6,2
01001,01,aguascalientes,001,aguascalientes,16,22,0,38,2019,7,2
01001,01,aguascalientes,001,aguascalientes,20,25,0,45,2019,8,2
01001,01,aguascalientes,001,aguascalientes,23,30,0,53,2019,9,2
01001,01,aguascalientes,001,aguascalientes,20,21,0,41,2019,10,2
01001,01,aguascalientes,001,aguascalientes,22,23,0,45,2019,11,2
01001,01,aguascalientes,001,aguascalientes,17,22,0,39,2019,12,2
01001,01,aguascalientes,001,aguascalientes,22,20,0,42,2020,1,2
01001,01,aguascalientes,001,aguascalientes,12,26,0,38,2020,2,2
01001,01,aguascalientes,001,aguascalientes,23,32,0,55,2020,3,2
01001,01,aguascalientes,001,aguascalientes,14,23,0,37,2020,4,2
01001,01,aguascalientes,001,aguascalientes,10,17,0,27,2020,5,2
01001,01,aguascalientes,001,aguascalientes,11,11,0,22,2020,6,2
01001,01,aguascalientes,001,aguascalientes,19,24,0,43,2020,7,2
01001,01,aguascalientes,001,aguascalientes,13,19,0,32,2020,8,2
01001,01,aguascalientes,001,aguascalientes,12,17,0,29,2020,9,2
01001,01,aguascalientes,001,aguascalientes,20,15,0,35,2020,10,2
01001,01,aguascalientes,001,aguascalientes,19,12,0,31,2020,11,2
01001,01,aguascalientes,001,aguascalientes,14,8,0,22,2020,12,2
01001,01,aguascalientes,001,aguascalientes,6,7,0,13,2021,1,2
01001,01,aguascalientes,001,aguascalientes,8,7,0,15,2021,2,2
01001,01,aguascalientes,001,aguascalientes,3,6,0,9,2021,3,2
01001,01,aguascalientes,001,aguascalientes,5,1,0,6,2021,4,2
01001,01,aguascalientes,001,aguascalientes,7,7,0,14,2021,5,2
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2021,6,2
