cvegeo,cve_estado,state,cve_mun,municipality,male,female,undefined,total,year,month,status_id
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2015,1,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2015,4,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2015,5,3
01001,01,aguascalientes,001,aguascalientes,0,1,0,1,2015,7,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2015,9,3
01001,01,aguascalientes,001,aguascalientes,1,1,0,2,2015,11,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2015,12,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2016,1,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2016,2,3
01001,01,aguascalientes,001,aguascalientes,1,1,0,2,2016,7,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2016,10,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2016,12,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2017,1,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2017,2,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2017,3,3
01001,01,aguascalientes,001,aguascalientes,0,1,0,1,2017,4,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2017,6,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2017,9,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2017,10,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2018,3,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2018,5,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2018,7,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2018,8,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2018,10,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2018,11,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2018,12,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2019,1,3
01001,01,aguascalientes,001,aguascalientes,1,1,0,2,2019,2,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2019,3,3
01001,01,aguascalientes,001,aguascalientes,2,1,0,3,2019,4,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2019,5,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2019,6,3
01001,01,aguascalientes,001,aguascalientes,0,1,0,1,2019,7,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2019,8,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2019,9,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2019,10,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2019,11,3
01001,01,aguascalientes,001,aguascalientes,2,1,0,3,2019,12,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2020,2,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2020,4,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2020,5,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2020,6,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2020,7,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2020,8,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2020,9,3
01001,01,aguascalientes,001,aguascalientes,0,1,0,1,2020,10,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2020,11,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2021,10,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2022,2,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2023,1,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2023,2,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2023,3,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2023,4,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2023,5,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2023,6,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2023,8,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2023,11,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2024,2,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2024,3,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2024,4,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2024,5,3
01001,01,aguascalientes,001,aguascalientes,3,1,0,4,2024,6,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2024,7,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2024,8,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2024,9,3
01001,01,aguascalientes,001,aguascalientes,2,1,0,3,2024,10,3
01001,01,aguascalientes,001,aguascalientes,3,0,0,3,2024,11,3
01001,01,aguascalientes,001,aguascalientes,2,0,0,2,2025,1,3
01001,01,aguascalientes,001,aguascalientes,2,1,0,3,2025,3,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2025,5,3
01001,01,aguascalientes,001,aguascalientes,1,0,0,1,2025,8,3
01001,01,aguascalientes,001,aguascalientes,1,1,0,2,2025,9,3
01001,01,aguascalientes,001,aguascalientes,0,2,0,2,2025,10,3
01002,01,aguascalientes,002,asientos,0,1,0,1,2017,4,3
01002,01,aguascalientes,002,asientos,1,0,0,1,2017,12,3
01002,01,aguascalientes,002,asientos,1,0,0,1,2023,7,3
01002,01,aguascalientes,002,asientos,1,0,0,1,2024,5,3
01003,01,aguascalientes,003,calvillo,1,0,0,1,2017,10,3
01003,01,aguascalientes,003,calvillo,1,0,0,1,2018,10,3
01003,01,aguascalientes,003,calvillo,2,0,0,2,2020,7,3
01003,01,aguascalientes,003,calvillo,2,0,0,2,2024,2,3
01004,01,aguascalientes,004,cosio,1,0,0,1,2016,1,3
01004,01,aguascalientes,004,cosio,1,0,0,1,2021,12,3
01004,01,aguascalientes,004,cosio,1,0,0,1,2023,7,3
01004,01,aguascalientes,004,cosio,1,0,0,1,2024,12,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2015,3,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2018,2,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2018,3,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2018,11,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2023,1,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2023,2,3
01005,01,aguascalientes,005,jesus maria,0,1,0,1,2023,5,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2023,8,3
01005,01,aguascalientes,005,jesus maria,2,0,0,2,2024,5,3
01005,01,aguascalientes,005,jesus maria,2,1,0,3,2024,11,3
01005,01,aguascalientes,005,jesus maria,0,1,0,1,2025,2,3
01005,01,aguascalientes,005,jesus maria,3,0,0,3,2025,5,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2025,8,3
01005,01,aguascalientes,005,jesus maria,1,0,0,1,2025,10,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2015,2,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2017,3,3
01006,01,aguascalientes,006,pabellon de arteaga,0,1,0,1,2017,11,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2018,6,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2023,1,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2023,10,3
01006,01,aguascalientes,006,pabellon de arteaga,3,0,0,3,2023,11,3
01006,01,aguascalientes,006,pabellon de arteaga,1,0,0,1,2024,6,3
01006,01,aguascalientes,006,pabellon de arteaga,2,0,0,2,2024,12,3
01007,01,aguascalientes,007,rincon de romos,1,0,0,1,2019,7,3
01007,01,aguascalientes,007,rincon de romos,1,0,0,1,2024,11,3
01008,01,aguascalientes,008,san jose de gracia,1,0,0,1,2016,5,3
01008,01,aguascalientes,008,san jose de gracia,1,0,0,1,2024,9,3
01008,01,aguascalientes,008,san jose de gracia,1,0,0,1,2025,8,3
01009,01,aguascalientes,009,tepezala,1,0,0,1,2024,6,3
01009,01,aguascalientes,009,tepezala,1,0,0,1,2024,9,3
01009,01,aguascalientes,009,tepezala,1,0,0,1,2024,10,3
01010,01,aguascalientes,010,el llano,1,0,0,1,2023,2,3
01010,01,aguascalientes,010,el llano,3,0,0,3,2023,10,3
01010,01,aguascalientes,010,el llano,1,0,0,1,2025,2,3
01010,01,aguascalientes,010,el llano,1,0,0,1,2025,4,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2015,7,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2021,4,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2023,4,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2023,6,3
01011,01,aguascalientes,011,san francisco de los romo,0,1,0,1,2024,2,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2024,9,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2024,11,3
01011,01,aguascalientes,011,san francisco de los romo,1,0,0,1,2024,12,3
01011,01,aguascalientes,011,san francisco de los romo,2,0,0,2,2025,7,3
01998,01,aguascalientes,998,sin municipio de referencia,1,0,0,1,2024,5,3
02001,02,baja california,001,ensenada,0,1,0,1,2016,12,3
02001,02,baja california,001,ensenada,1,0,0,1,2017,1,3
02001,02,baja california,001,ensenada,1,0,0,1,2024,8,3
02001,02,baja california,001,ensenada,1,0,0,1,2024,10,3
02001,02,baja california,001,ensenada,0,1,0,1,2025,1,3
02002,02,baja california,002,mexicali,1,0,0,1,2020,1,3
02002,02,baja california,002,mexicali,0,1,0,1,2021,3,3
02002,02,baja california,002,mexicali,1,0,0,1,2022,1,3
02002,02,baja california,002,mexicali,1,0,0,1,2022,2,3
02002,02,baja california,002,mexicali,1,0,0,1,2022,5,3
02002,02,baja california,002,mexicali,2,0,0,2,2022,6,3
02002,02,baja california,002,mexicali,1,0,0,1,2022,7,3
02002,02,baja california,002,mexicali,2,0,0,2,2022,11,3
02002,02,baja california,002,mexicali,3,0,0,3,2022,12,3
02002,02,baja california,002,mexicali,2,0,0,2,2023,1,3
02002,02,baja california,002,mexicali,2,0,0,2,2023,2,3
02002,02,baja california,002,mexicali,0,0,1,1,2023,9,3
02002,02,baja california,002,mexicali,1,0,0,1,2023,10,3
02002,02,baja california,002,mexicali,2,0,0,2,2024,7,3
02002,02,baja california,002,mexicali,2,0,0,2,2024,9,3
02002,02,baja california,002,mexicali,0,1,0,1,2025,4,3
02002,02,baja california,002,mexicali,0,1,0,1,2025,10,3
02002,02,baja california,002,mexicali,1,0,0,1,2025,12,3
02003,02,baja california,003,tecate,2,0,0,2,2020,5,3
02003,02,baja california,003,tecate,1,0,0,1,2022,11,3
02004,02,baja california,004,tijuana,2,0,0,2,2016,6,3
02004,02,baja california,004,tijuana,0,1,0,1,2016,7,3
02004,02,baja california,004,tijuana,1,0,0,1,2016,9,3
02004,02,baja california,004,tijuana,0,1,0,1,2016,10,3
02004,02,baja california,004,tijuana,0,1,0,1,2016,12,3
02004,02,baja california,004,tijuana,3,0,0,3,2017,1,3
02004,02,baja california,004,tijuana,2,1,0,3,2017,2,3
02004,02,baja california,004,tijuana,1,0,0,1,2018,7,3
02004,02,baja california,004,tijuana,1,0,0,1,2019,4,3
02004,02,baja california,004,tijuana,1,0,0,1,2019,5,3
02004,02,baja california,004,tijuana,1,0,0,1,2019,11,3
02004,02,baja california,004,tijuana,1,0,0,1,2020,5,3
02004,02,baja california,004,tijuana,2,0,0,2,2020,8,3
02004,02,baja california,004,tijuana,1,0,0,1,2020,12,3
02004,02,baja california,004,tijuana,1,0,0,1,2021,1,3
02004,02,baja california,004,tijuana,1,0,0,1,2021,11,3
02004,02,baja california,004,tijuana,2,0,0,2,2021,12,3
02004,02,baja california,004,tijuana,1,0,0,1,2022,1,3
02004,02,baja california,004,tijuana,1,0,0,1,2022,2,3
02004,02,baja california,004,tijuana,1,0,0,1,2022,5,3
02004,02,baja california,004,tijuana,1,0,0,1,2022,11,3
02004,02,baja california,004,tijuana,2,0,0,2,2022,12,3
02004,02,baja california,004,tijuana,2,0,0,2,2023,1,3
02004,02,baja california,004,tijuana,2,0,0,2,2023,2,3
02004,02,baja california,004,tijuana,2,1,0,3,2023,3,3
02004,02,baja california,004,tijuana,0,1,0,1,2023,7,3
02004,02,baja california,004,tijuana,2,0,0,2,2023,9,3
02004,02,baja california,004,tijuana,0,1,0,1,2023,11,3
02004,02,baja california,004,tijuana,1,0,0,1,2023,12,3
02004,02,baja california,004,tijuana,1,0,0,1,2024,1,3
02004,02,baja california,004,tijuana,1,0,0,1,2024,2,3
02004,02,baja california,004,tijuana,1,1,0,2,2024,3,3
02004,02,baja california,004,tijuana,3,2,0,5,2024,4,3
02004,02,baja california,004,tijuana,1,0,0,1,2024,5,3
02004,02,baja california,004,tijuana,3,2,0,5,2024,6,3
02004,02,baja california,004,tijuana,4,0,0,4,2024,7,3
02004,02,baja california,004,tijuana,2,0,0,2,2024,8,3
02004,02,baja california,004,tijuana,4,0,0,4,2024,9,3
02004,02,baja california,004,tijuana,2,1,0,3,2024,10,3
02004,02,baja california,004,tijuana,3,0,0,3,2024,11,3
02004,02,baja california,004,tijuana,8,0,0,8,2024,12,3
02004,02,baja california,004,tijuana,6,4,0,10,2025,1,3
02004,02,baja california,004,tijuana,8,1,0,9,2025,2,3
02004,02,baja california,004,tijuana,5,4,0,9,2025,3,3
02004,02,baja california,004,tijuana,9,3,0,12,2025,4,3
02004,02,baja california,004,tijuana,0,1,0,1,2025,5,3
02004,02,baja california,004,tijuana,2,1,0,3,2025,6,3
02004,02,baja california,004,tijuana,2,0,0,2,2025,7,3
02004,02,baja california,004,tijuana,4,0,0,4,2025,9,3
02004,02,baja california,004,tijuana,1,0,0,1,2025,10,3
02004,02,baja california,004,tijuana,1,0,0,1,2025,11,3
02004,02,baja california,004,tijuana,1,0,0,1,2025,12,3
02005,02,baja california,005,playas de rosarito,0,1,0,1,2016,5,3
02005,02,baja california,005,playas de rosarito,1,0,0,1,2016,12,3
02005,02,baja california,005,playas de rosarito,1,0,0,1,2017,2,3
02005,02,baja california,005,playas de rosarito,1,0,0,1,2023,10,3
02005,02,baja california,005,playas de rosarito,1,0,0,1,2024,5,3
02005,02,baja california,005,playas de rosarito,1,0,0,1,2024,12,3
02998,02,baja california,998,sin municipio de referencia,1,0,0,1,2020,3,3
02999,02,baja california,999,se desconoce,1,0,0,1,2021,12,3
03001,03,baja california sur,001,comondu,1,0,0,1,2017,3,3
03001,03,baja california sur,001,comondu,1,0,0,1,2017,5,3
03001,03,baja california sur,001,comondu,0,1,0,1,2017,12,3
03001,03,baja california sur,001,comondu,1,0,0,1,2018,8,3
03001,03,baja california sur,001,comondu,1,0,0,1,2018,10,3
03001,03,baja california sur,001,comondu,1,0,0,1,2018,12,3
03001,03,baja california sur,001,comondu,1,0,0,1,2019,10,3
