year,month,status_id,status,hh_count_bajio,month_idx
2015,1,0,Total,15,0
2015,2,0,Total,19,1
2015,3,0,Total,16,2
2015,4,0,Total,16,3
2015,5,0,Total,18,4
2015,6,0,Total,16,5
2015,7,0,Total,14,6
2015,8,0,Total,14,7
2015,9,0,Total,15,8
2015,10,0,Total,17,9
2015,11,0,Total,16,10
2015,12,0,Total,5,11
2016,1,0,Total,17,12
2016,2,0,Total,11,13
2016,3,0,Total,12,14
2016,4,0,Total,6,15
2016,5,0,Total,4,16
2016,6,0,Total,6,17
2016,7,0,Total,5,18
2016,8,0,Total,7,19
2016,9,0,Total,2,20
2016,10,0,Total,3,21
2016,11,0,Total,3,22
2016,12,0,Total,3,23
2017,1,0,Total,1,24
2017,2,0,Total,3,25
2017,3,0,Total,1,26
2017,4,0,Total,3,27
2017,5,0,Total,4,28
2017,6,0,Total,9,29
2017,7,0,Total,3,30
2017,8,0,Total,4,31
2017,9,0,Total,3,32
2017,10,0,Total,4,33
2017,11,0,Total,4,34
2017,12,0,Total,4,35
2018,1,0,Total,5,36
2018,2,0,Total,5,37
2018,3,0,Total,8,38
2018,4,0,Total,8,39
2018,5,0,Total,3,40
2018,6,0,Total,2,41
2018,7,0,Total,4,42
2018,8,0,Total,3,43
2018,9,0,Total,4,44
2018,10,0,Total,3,45
2018,11,0,Total,4,46
2018,12,0,Total,0,47
2019,1,0,Total,1,48
2019,2,0,Total,1,49
2019,3,0,Total,1,50
2019,4,0,Total,2,51
2019,5,0,Total,4,52
2019,6,0,Total,2,53
2019,7,0,Total,3,54
2019,8,0,Total,4,55
2019,9,0,Total,6,56
2019,10,0,Total,2,57
2019,11,0,Total,3,58
2019,12,0,Total,3,59
2020,1,0,Total,5,60
2020,2,0,Total,6,61
2020,3,0,Total,5,62
2020,4,0,Total,6,63
2020,5,0,Total,6,64
2020,6,0,Total,6,65
2020,7,0,Total,10,66
2020,8,0,Total,2,67
2020,9,0,Total,2,68
2020,10,0,Total,3,69
2020,11,0,Total,3,70
2020,12,0,Total,1,71
2021,1,0,Total,2,72
2021,2,0,Total,2,73
2021,3,0,Total,2,74
2021,4,0,Total,1,75
2021,5,0,Total,4,76
2021,6,0,Total,2,77
2021,7,0,Total,4,78
2021,8,0,Total,2,79
2021,9,0,Total,1,80
2021,10,0,Total,5,81
2021,11,0,Total,0,82
2021,12,0,Total,1,83
2022,1,0,Total,5,84
2022,2,0,Total,1,85
2022,3,0,Total,1,86
2022,4,0,Total,1,87
2022,5,0,Total,1,88
2022,6,0,Total,3,89
2022,7,0,Total,3,90
2022,8,0,Total,2,91
2022,9,0,Total,5,92
2022,10,0,Total,12,93
2022,11,0,Total,14,94
2022,12,0,Total,8,95
2023,1,0,Total,10,96
2023,2,0,Total,8,97
2023,3,0,Total,5,98
2023,4,0,Total,2,99
2023,5,0,Total,2,100
2023,6,0,Total,1,101
2023,7,0,Total,3,102
2023,8,0,Total,2,103
2023,9,0,Total,2,104
2023,10,0,Total,2,105
2023,11,0,Total,1,106
2023,12,0,Total,4,107
2024,1,0,Total,8,108
2024,2,0,Total,8,109
2024,3,0,Total,4,110
2024,4,0,Total,4,111
2024,5,0,Total,2,112
2024,6,0,Total,4,113
2024,7,0,Total,3,114
2024,8,0,Total,6,115
2024,9,0,Total,4,116
2024,10,0,Total,4,117
2024,11,0,Total,6,118
2024,12,0,Total,5,119
2025,1,0,Total,13,120
2025,2,0,Total,14,121
2025,3,0,Total,7,122
2025,4,0,Total,6,123
2025,5,0,Total,5,124
2025,6,0,Total,6,125
2025,7,0,Total,9,126
2025,8,0,Total,12,127
