year,status,n_hh_rates,n_hh_cases,n_clusters_rates,n_clusters_cases,jaccard_hh,hh_intersection,hh_union
2015,total,123,99,8,8,0.2198,40,182
2016,total,125,98,13,10,0.1263,25,198
2017,total,128,89,11,13,0.1244,24,193
2018,total,143,67,13,8,0.1538,28,182
2019,total,152,79,9,6,0.1846,36,195
2020,total,174,116,16,6,0.1837,45,245
2021,total,194,102,12,6,0.2082,51,245
2022,total,148,90,8,6,0.1226,26,212
2023,total,143,97,10,5,0.1538,32,208
2024,total,219,112,10,8,0.2214,60,271
2015,disappeared,99,85,10,10,0.2026,31,153
2016,disappeared,120,101,9,10,0.1106,22,199
2017,disappeared,120,90,6,11,0.1798,32,178
2018,disappeared,124,89,11,9,0.1833,33,180
2019,disappeared,105,105,8,9,0.1602,29,181
2020,disappeared,164,114,10,14,0.1681,40,238
2021,disappeared,71,122,6,8,0.1092,19,174
2022,disappeared,94,102,9,7,0.12,21,175
2023,disappeared,89,118,4,7,0.0895,17,190
2024,disappeared,121,108,7,6,0.101,21,208
2015,located_alive,107,96,10,6,0.3904,57,146
2016,located_alive,126,84,16,10,0.2727,45,165
2017,located_alive,101,85,13,9,0.2483,37,149
2018,located_alive,99,63,10,8,0.1655,23,139
2019,located_alive,150,70,10,4,0.3018,51,169
2020,located_alive,246,109,9,5,0.3498,92,263
2021,located_alive,251,112,11,7,0.3011,84,279
2022,located_alive,201,100,12,6,0.1758,45,256
2023,located_alive,220,101,8,7,0.3375,81,240
2024,located_alive,236,98,9,5,0.315,80,254
2015,located_dead,46,71,5,5,0.2717,25,92
2016,located_dead,35,54,7,7,0.3088,21,68
2017,located_dead,36,54,5,7,0.2676,19,71
2018,located_dead,49,54,8,5,0.241,20,83
2019,located_dead,41,86,3,5,0.2212,23,104
2020,located_dead,65,115,4,7,0.25,36,144
2021,located_dead,53,120,5,7,0.227,32,141
2022,located_dead,56,91,5,6,0.2458,29,118
2023,located_dead,48,130,5,11,0.1338,21,157
2024,located_dead,68,127,4,9,0.1607,27,168
