year,status,metric,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,dominant_band,band_label,centroid_x,centroid_y
2015,located_alive,cases,2015_located_alive_cases_001,24,Centro,1.0,True,2,Band 2: Small Town,-101.133349,20.875935
2015,located_alive,cases,2015_located_alive_cases_002,4,Centro,1.0,True,2,Band 2: Small Town,-100.97088,20.533255
2015,located_alive,cases,2015_located_alive_cases_003,14,Centro,0.0,False,3,Band 3: Mid-Size,-98.960439,19.463169
2015,located_alive,cases,2015_located_alive_cases_004,6,Centro,0.0,False,2,Band 2: Small Town,-99.534214,19.372389
2015,located_alive,cases,2015_located_alive_cases_005,4,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.357597,21.999684
2015,located_alive,cases,2015_located_alive_cases_006,3,Sur,0.0,False,2,Band 2: Small Town,-96.74156,17.043283
2015,located_alive,cases,2015_located_alive_cases_007,4,Norte,0.0,False,4,Band 4: Metropolitan,-100.243639,25.711495
2016,located_alive,cases,2016_located_alive_cases_001,11,Centro,1.0,True,3,Band 3: Mid-Size,-101.289707,20.951299
2016,located_alive,cases,2016_located_alive_cases_002,3,Centro-Norte,1.0,True,4,Band 4: Metropolitan,-100.835951,22.189573
2016,located_alive,cases,2016_located_alive_cases_003,11,Centro,0.0,False,3,Band 3: Mid-Size,-98.943346,19.461351
2016,located_alive,cases,2016_located_alive_cases_004,5,Centro,0.0,False,3,Band 3: Mid-Size,-99.547535,19.359476
2016,located_alive,cases,2016_located_alive_cases_005,3,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.461637,21.957385
2016,located_alive,cases,2016_located_alive_cases_006,3,Centro,0.0,False,3,Band 3: Mid-Size,-98.296328,19.071271
2016,located_alive,cases,2016_located_alive_cases_007,4,Sur,0.0,False,2,Band 2: Small Town,-96.745528,17.056304
2016,located_alive,cases,2016_located_alive_cases_008,3,Norte,0.0,False,3,Band 3: Mid-Size,-97.937336,22.366713
2017,located_alive,cases,2017_located_alive_cases_001,3,Centro,0.0,False,3,Band 3: Mid-Size,-99.180456,19.7469
2017,located_alive,cases,2017_located_alive_cases_002,11,Centro,0.0,False,2,Band 2: Small Town,-99.498427,19.357745
2017,located_alive,cases,2017_located_alive_cases_003,12,Centro,0.0,False,3,Band 3: Mid-Size,-98.9528,19.452003
2017,located_alive,cases,2017_located_alive_cases_004,5,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-103.751001,19.266684
2017,located_alive,cases,2017_located_alive_cases_005,4,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.357597,21.999684
