year,status,metric,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,dominant_band,band_label,centroid_x,centroid_y
2015,located_dead,cases,2015_located_dead_cases_001,17,Centro,1.0,True,3,Band 3: Mid-Size,-101.192232,20.777296
2015,located_dead,cases,2015_located_dead_cases_002,17,Centro,0.0,False,3,Band 3: Mid-Size,-99.082209,19.507132
2015,located_dead,cases,2015_located_dead_cases_003,7,Norte-Occidente,0.0,False,2,Band 2: Small Town,-108.156926,25.485166
2015,located_dead,cases,2015_located_dead_cases_004,6,Norte,0.0,False,3,Band 3: Mid-Size,-100.294526,25.647788
2015,located_dead,cases,2015_located_dead_cases_005,3,Sur,0.0,False,4,Band 4: Metropolitan,-99.628254,17.163268
2016,located_dead,cases,2016_located_dead_cases_001,4,Norte-Occidente,0.0,False,2,Band 2: Small Town,-106.118442,23.473182
2016,located_dead,cases,2016_located_dead_cases_002,3,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-103.692103,19.249874
2016,located_dead,cases,2016_located_dead_cases_003,5,Centro,1.0,True,2,Band 2: Small Town,-100.815328,20.793595
2016,located_dead,cases,2016_located_dead_cases_004,9,Norte-Occidente,0.0,False,2,Band 2: Small Town,-108.407064,25.664431
2016,located_dead,cases,2016_located_dead_cases_005,3,Centro,0.0,False,4,Band 4: Metropolitan,-99.119553,19.580574
2016,located_dead,cases,2016_located_dead_cases_006,4,Sur,0.0,False,4,Band 4: Metropolitan,-99.534207,17.444867
2016,located_dead,cases,2016_located_dead_cases_007,4,Centro,0.0,False,3,Band 3: Mid-Size,-98.887625,19.381484
2017,located_dead,cases,2017_located_dead_cases_001,7,Sur,0.0,False,2,Band 2: Small Town,-99.586573,17.397508
2017,located_dead,cases,2017_located_dead_cases_002,6,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-103.95282,19.13241
2017,located_dead,cases,2017_located_dead_cases_003,5,Norte-Occidente,0.0,False,2,Band 2: Small Town,-107.615437,24.802301
2017,located_dead,cases,2017_located_dead_cases_004,5,Centro-Norte,1.0,True,4,Band 4: Metropolitan,-103.255718,20.581699
2017,located_dead,cases,2017_located_dead_cases_005,5,Centro,0.0,False,4,Band 4: Metropolitan,-99.150049,19.608374
2017,located_dead,cases,2017_located_dead_cases_006,4,Centro,0.0,False,3,Band 3: Mid-Size,-98.936061,19.417773
2017,located_dead,cases,2017_located_dead_cases_007,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-105.010407,21.439473
2018,located_dead,cases,2018_located_dead_cases_001,5,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-103.884148,19.19815
2018,located_dead,cases,2018_located_dead_cases_002,9,Centro-Norte,1.0,True,2,Band 2: Small Town,-103.342154,20.575576
2018,located_dead,cases,2018_located_dead_cases_003,6,Norte,0.0,False,3,Band 3: Mid-Size,-100.356175,25.68949
2018,located_dead,cases,2018_located_dead_cases_004,6,Centro-Norte,1.0,True,3,Band 3: Mid-Size,-101.82051,21.47185
2018,located_dead,cases,2018_located_dead_cases_005,3,Norte,0.0,False,2,Band 2: Small Town,-109.497958,26.913908
2019,located_dead,cases,2019_located_dead_cases_001,22,Centro,1.0,True,2,Band 2: Small Town,-101.358406,20.855898
2019,located_dead,cases,2019_located_dead_cases_002,13,Norte,0.0,False,3,Band 3: Mid-Size,-100.295766,25.721544
2019,located_dead,cases,2019_located_dead_cases_003,14,Centro-Norte,0.7857,True,2,Band 2: Small Town,-103.390718,20.639904
2019,located_dead,cases,2019_located_dead_cases_004,17,Centro,0.0,False,3,Band 3: Mid-Size,-99.123161,19.380465
2019,located_dead,cases,2019_located_dead_cases_005,3,Centro,0.0,False,3,Band 3: Mid-Size,-98.296328,19.071271
2020,located_dead,cases,2020_located_dead_cases_001,23,Centro,1.0,True,2,Band 2: Small Town,-101.249429,20.725014
2020,located_dead,cases,2020_located_dead_cases_002,34,Centro,0.0,False,3,Band 3: Mid-Size,-99.137488,19.481141
2020,located_dead,cases,2020_located_dead_cases_003,13,Centro-Norte,0.7692,True,2,Band 2: Small Town,-103.333979,20.524289
2020,located_dead,cases,2020_located_dead_cases_004,10,Norte,0.0,False,3,Band 3: Mid-Size,-100.274663,25.657504
2020,located_dead,cases,2020_located_dead_cases_005,5,Norte-Occidente,0.0,False,2,Band 2: Small Town,-111.369296,25.243409
2020,located_dead,cases,2020_located_dead_cases_006,3,Centro,0.0,False,3,Band 3: Mid-Size,-99.206529,18.847133
2020,located_dead,cases,2020_located_dead_cases_007,10,Norte-Occidente,0.5,True,2,Band 2: Small Town,-102.798224,23.153734
2021,located_dead,cases,2021_located_dead_cases_001,17,Norte-Occidente,0.5882,True,1,Band 1: Rural,-102.762017,23.073851
2021,located_dead,cases,2021_located_dead_cases_002,47,Centro,0.0,False,3,Band 3: Mid-Size,-99.214587,19.429817
2021,located_dead,cases,2021_located_dead_cases_003,11,Centro-Norte,0.8182,True,2,Band 2: Small Town,-103.372323,20.640679
2021,located_dead,cases,2021_located_dead_cases_004,14,Norte,0.0,False,3,Band 3: Mid-Size,-100.324853,25.754117
2021,located_dead,cases,2021_located_dead_cases_005,3,Centro-Norte,0.0,False,2,Band 2: Small Town,-103.608588,19.259973
2021,located_dead,cases,2021_located_dead_cases_006,9,Centro,0.0,False,3,Band 3: Mid-Size,-99.180041,18.873477
2021,located_dead,cases,2021_located_dead_cases_007,3,Centro,1.0,True,3,Band 3: Mid-Size,-100.344628,20.536454
2022,located_dead,cases,2022_located_dead_cases_001,12,Norte-Occidente,0.4167,False,2,Band 2: Small Town,-102.809422,22.991852
2022,located_dead,cases,2022_located_dead_cases_002,29,Centro,0.0,False,3,Band 3: Mid-Size,-99.144998,19.426489
2022,located_dead,cases,2022_located_dead_cases_003,15,Norte,0.0,False,3,Band 3: Mid-Size,-100.272942,25.730854
2022,located_dead,cases,2022_located_dead_cases_004,3,Norte-Occidente,0.0,False,3,Band 3: Mid-Size,-110.722172,24.321984
2022,located_dead,cases,2022_located_dead_cases_005,6,Centro,0.0,False,3,Band 3: Mid-Size,-99.195268,18.901682
2022,located_dead,cases,2022_located_dead_cases_006,7,Centro,1.0,True,3,Band 3: Mid-Size,-101.085352,20.665152
2023,located_dead,cases,2023_located_dead_cases_001,7,Norte-Occidente,0.7143,True,1,Band 1: Rural,-102.613171,22.807762
2023,located_dead,cases,2023_located_dead_cases_002,16,Norte,0.0,False,3,Band 3: Mid-Size,-100.230108,25.784436
2023,located_dead,cases,2023_located_dead_cases_003,51,Centro,0.0,False,3,Band 3: Mid-Size,-99.217113,19.466273
2023,located_dead,cases,2023_located_dead_cases_004,3,Norte-Occidente,0.0,False,3,Band 3: Mid-Size,-110.722172,24.321984
2023,located_dead,cases,2023_located_dead_cases_005,4,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.190836,22.004264
2023,located_dead,cases,2023_located_dead_cases_006,5,Centro,0.0,False,3,Band 3: Mid-Size,-98.244355,19.103989
2023,located_dead,cases,2023_located_dead_cases_007,4,Centro-Norte,0.5,True,1,Band 1: Rural,-101.103493,19.818793
2023,located_dead,cases,2023_located_dead_cases_008,5,Centro,0.0,False,3,Band 3: Mid-Size,-99.197576,18.892931
2023,located_dead,cases,2023_located_dead_cases_009,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-105.254495,21.605377
2023,located_dead,cases,2023_located_dead_cases_010,4,Centro,1.0,True,3,Band 3: Mid-Size,-100.593529,20.602001
2023,located_dead,cases,2023_located_dead_cases_011,3,Centro-Norte,0.6667,True,1,Band 1: Rural,-100.777649,22.524002
2024,located_dead,cases,2024_located_dead_cases_001,3,Sur,0.0,False,2,Band 2: Small Town,-99.748744,17.080471
2024,located_dead,cases,2024_located_dead_cases_002,12,Centro,1.0,True,2,Band 2: Small Town,-100.686922,20.583342
2024,located_dead,cases,2024_located_dead_cases_003,40,Centro,0.0,False,3,Band 3: Mid-Size,-99.154408,19.525801
2024,located_dead,cases,2024_located_dead_cases_004,19,Norte,0.0,False,3,Band 3: Mid-Size,-100.164645,25.666908
2024,located_dead,cases,2024_located_dead_cases_005,3,Norte-Occidente,0.0,False,3,Band 3: Mid-Size,-110.722172,24.321984
2024,located_dead,cases,2024_located_dead_cases_006,4,Centro,0.0,False,3,Band 3: Mid-Size,-98.302029,19.036367
2024,located_dead,cases,2024_located_dead_cases_007,6,Centro,0.0,False,3,Band 3: Mid-Size,-99.226315,18.932098
2024,located_dead,cases,2024_located_dead_cases_008,4,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.357597,21.999684
2024,located_dead,cases,2024_located_dead_cases_009,6,Norte-Occidente,0.8333,True,1,Band 1: Rural,-102.706607,22.817136
