year,status,metric,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,dominant_band,band_label,centroid_x,centroid_y
2015,disappeared,rates,2015_disappeared_rates_001,3,Norte,0.0,False,2,Band 2: Small Town,-112.913445,31.358043
2015,disappeared,rates,2015_disappeared_rates_002,18,Centro-Norte,0.6111,True,1,Band 1: Rural,-103.915844,20.769909
2015,disappeared,rates,2015_disappeared_rates_003,3,Norte-Occidente,1.0,True,2,Band 2: Small Town,-102.283232,22.594254
2015,disappeared,rates,2015_disappeared_rates_004,8,Norte,0.0,False,2,Band 2: Small Town,-106.23391,30.533202
2015,disappeared,rates,2015_disappeared_rates_005,3,Norte,0.0,False,1,Band 1: Rural,-110.812611,28.175533
2015,disappeared,rates,2015_disappeared_rates_006,5,Norte,0.0,False,1,Band 1: Rural,-98.244881,24.3397
2015,disappeared,rates,2015_disappeared_rates_007,6,Centro-Norte,1.0,True,1,Band 1: Rural,-102.367738,21.045976
2015,disappeared,rates,2015_disappeared_rates_008,6,Norte,0.0,False,1,Band 1: Rural,-99.74533,26.893275
2015,disappeared,rates,2015_disappeared_rates_009,3,Norte,0.0,False,1,Band 1: Rural,-106.397412,27.490671
2015,disappeared,rates,2015_disappeared_rates_010,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-105.827669,23.064738
2016,disappeared,rates,2016_disappeared_rates_001,4,Norte,0.0,False,1,Band 1: Rural,-112.70864,31.006393
2016,disappeared,rates,2016_disappeared_rates_002,18,Centro-Norte,0.8889,True,1,Band 1: Rural,-102.596751,21.07037
2016,disappeared,rates,2016_disappeared_rates_003,34,Norte,0.0,False,1,Band 1: Rural,-99.037456,25.391682
2016,disappeared,rates,2016_disappeared_rates_004,3,Norte,0.0,False,1,Band 1: Rural,-108.256622,27.12069
2016,disappeared,rates,2016_disappeared_rates_005,17,Centro-Norte,0.3529,False,1,Band 1: Rural,-104.342126,20.323654
2016,disappeared,rates,2016_disappeared_rates_006,7,Norte,0.0,False,1,Band 1: Rural,-106.326142,30.741759
2016,disappeared,rates,2016_disappeared_rates_007,4,Centro-Norte,0.0,False,1,Band 1: Rural,-102.825753,20.070115
2016,disappeared,rates,2016_disappeared_rates_008,3,Sur,0.0,False,1,Band 1: Rural,-99.365196,17.589523
2016,disappeared,rates,2016_disappeared_rates_009,3,Centro-Norte,0.0,False,1,Band 1: Rural,-102.971144,19.844589
2017,disappeared,rates,2017_disappeared_rates_001,9,Centro-Norte,0.1111,False,1,Band 1: Rural,-104.218455,20.132386
