year,status,metric,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,dominant_band,band_label,centroid_x,centroid_y
2015,located_dead,rates,2015_located_dead_rates_001,3,Centro,1.0,True,2,Band 2: Small Town,-99.985695,20.866491
2015,located_dead,rates,2015_located_dead_rates_002,3,Norte-Occidente,1.0,True,3,Band 3: Mid-Size,-102.888688,22.899349
2015,located_dead,rates,2015_located_dead_rates_003,14,Centro,1.0,True,2,Band 2: Small Town,-100.944588,20.402271
2015,located_dead,rates,2015_located_dead_rates_004,6,Norte-Occidente,0.0,False,2,Band 2: Small Town,-108.069983,25.35572
2015,located_dead,rates,2015_located_dead_rates_005,3,Norte,0.0,False,1,Band 1: Rural,-106.194576,30.908658
2016,located_dead,rates,2016_located_dead_rates_001,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-106.034452,23.312788
2016,located_dead,rates,2016_located_dead_rates_002,3,Norte,0.0,False,1,Band 1: Rural,-98.624549,26.043332
2016,located_dead,rates,2016_located_dead_rates_003,3,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-104.175985,19.104277
2016,located_dead,rates,2016_located_dead_rates_004,5,Sur,0.0,False,2,Band 2: Small Town,-99.298383,17.673829
2016,located_dead,rates,2016_located_dead_rates_005,3,Sur,0.0,False,1,Band 1: Rural,-96.685304,17.052957
2016,located_dead,rates,2016_located_dead_rates_006,9,Norte-Occidente,0.0,False,2,Band 2: Small Town,-108.16816,25.445771
2016,located_dead,rates,2016_located_dead_rates_007,3,Norte,0.0,False,1,Band 1: Rural,-106.043137,31.171699
2017,located_dead,rates,2017_located_dead_rates_001,5,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-104.024293,19.093542
2017,located_dead,rates,2017_located_dead_rates_002,6,Sur,0.0,False,3,Band 3: Mid-Size,-99.447739,17.503609
2017,located_dead,rates,2017_located_dead_rates_003,3,Centro,1.0,True,2,Band 2: Small Town,-101.128465,20.158326
2017,located_dead,rates,2017_located_dead_rates_004,5,Norte,0.0,False,1,Band 1: Rural,-99.091091,24.05524
2017,located_dead,rates,2017_located_dead_rates_005,3,Norte-Occidente,0.0,False,3,Band 3: Mid-Size,-107.719692,24.84993
2018,located_dead,rates,2018_located_dead_rates_001,3,Norte,0.0,False,2,Band 2: Small Town,-112.913445,31.358043
2018,located_dead,rates,2018_located_dead_rates_002,4,Norte-Occidente,0.5,True,1,Band 1: Rural,-102.722891,23.009388
2018,located_dead,rates,2018_located_dead_rates_003,8,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-104.066142,19.178538
2018,located_dead,rates,2018_located_dead_rates_004,3,Norte,0.0,False,3,Band 3: Mid-Size,-100.798173,25.907364
2018,located_dead,rates,2018_located_dead_rates_005,7,Centro-Norte,0.8571,True,2,Band 2: Small Town,-103.250733,20.480288
2018,located_dead,rates,2018_located_dead_rates_006,5,Norte,0.0,False,1,Band 1: Rural,-99.040167,23.20492
2018,located_dead,rates,2018_located_dead_rates_007,4,Centro-Norte,0.0,False,1,Band 1: Rural,-102.727013,19.883692
2018,located_dead,rates,2018_located_dead_rates_008,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-112.161819,26.259997
2019,located_dead,rates,2019_located_dead_rates_001,14,Centro-Norte,0.7857,True,2,Band 2: Small Town,-103.357408,20.557487
2019,located_dead,rates,2019_located_dead_rates_002,3,Centro-Norte,0.3333,False,2,Band 2: Small Town,-104.003287,20.416913
2019,located_dead,rates,2019_located_dead_rates_003,3,Centro-Norte,0.0,False,1,Band 1: Rural,-103.292405,22.295591
2020,located_dead,rates,2020_located_dead_rates_001,11,Centro-Norte,0.7273,True,2,Band 2: Small Town,-103.247656,20.455266
2020,located_dead,rates,2020_located_dead_rates_002,16,Norte-Occidente,0.375,False,2,Band 2: Small Town,-102.886811,22.967415
2020,located_dead,rates,2020_located_dead_rates_003,14,Centro,0.9286,True,2,Band 2: Small Town,-101.000983,20.19155
2020,located_dead,rates,2020_located_dead_rates_004,4,Centro,0.0,False,1,Band 1: Rural,-99.35433,18.663041
2021,located_dead,rates,2021_located_dead_rates_001,6,Centro-Norte,0.6667,True,1,Band 1: Rural,-103.47347,20.897173
2021,located_dead,rates,2021_located_dead_rates_002,18,Norte-Occidente,0.4444,False,1,Band 1: Rural,-102.956191,23.002132
2021,located_dead,rates,2021_located_dead_rates_003,3,Centro-Norte,0.0,False,3,Band 3: Mid-Size,-103.608588,19.259973
2021,located_dead,rates,2021_located_dead_rates_004,6,Centro,0.0,False,3,Band 3: Mid-Size,-99.173868,18.842904
2021,located_dead,rates,2021_located_dead_rates_005,4,Centro-Norte,0.75,True,1,Band 1: Rural,-101.146489,19.958111
2022,located_dead,rates,2022_located_dead_rates_001,14,Norte-Occidente,0.5,True,2,Band 2: Small Town,-102.773506,22.987801
2022,located_dead,rates,2022_located_dead_rates_002,7,Sur,0.0,False,2,Band 2: Small Town,-96.983707,18.881864
2022,located_dead,rates,2022_located_dead_rates_003,14,Norte,0.0,False,3,Band 3: Mid-Size,-100.071016,25.849493
2022,located_dead,rates,2022_located_dead_rates_004,10,Centro,0.0,False,2,Band 2: Small Town,-99.13487,18.727262
2022,located_dead,rates,2022_located_dead_rates_005,3,Sur,0.0,False,2,Band 2: Small Town,-97.032584,19.506608
2023,located_dead,rates,2023_located_dead_rates_001,13,Norte-Occidente,0.5385,True,1,Band 1: Rural,-102.790491,22.556945
2023,located_dead,rates,2023_located_dead_rates_002,8,Norte,0.0,False,3,Band 3: Mid-Size,-100.10484,25.887618
2023,located_dead,rates,2023_located_dead_rates_003,3,Centro-Norte,0.6667,True,4,Band 4: Metropolitan,-101.149953,19.717308
2023,located_dead,rates,2023_located_dead_rates_004,3,Norte,0.0,False,1,Band 1: Rural,-99.067418,23.325215
2023,located_dead,rates,2023_located_dead_rates_005,5,Centro,0.0,False,1,Band 1: Rural,-99.338221,18.574594
2024,located_dead,rates,2024_located_dead_rates_001,17,Norte-Occidente,0.8235,True,1,Band 1: Rural,-102.514506,22.547972
2024,located_dead,rates,2024_located_dead_rates_002,6,Centro,1.0,True,2,Band 2: Small Town,-100.978904,20.231498
2024,located_dead,rates,2024_located_dead_rates_003,13,Norte,0.0,False,1,Band 1: Rural,-99.459503,25.409884
2024,located_dead,rates,2024_located_dead_rates_004,7,Centro,0.0,False,1,Band 1: Rural,-97.910979,20.103093
