year,centroid_x,centroid_y,n_hotspots
2015,2267762.202560077,1644124.9795209034,102
2016,2294868.075025523,1689250.9422179363,93
2017,2138978.8233855185,1753665.2706838113,137
2018,2094357.7078585809,1806363.6282244024,107
2019,2265126.1272314587,1610425.8180407782,147
2020,2210858.7355438652,1542748.1382572819,183
2021,2464859.310032259,1404945.1746811937,153
2022,2405179.967398741,1480242.787297996,108
2023,2137090.557559707,1535565.2101279332,140
2024,2167874.1205134243,1569598.8837365634,175
