cvegeo,region,is_bajio,pop_band
01001,Centro-Norte,True,4
01002,Centro-Norte,True,2
01003,Centro-Norte,True,2
01004,Centro-Norte,True,1
01005,Centro-Norte,True,3
01006,Centro-Norte,True,2
01007,Centro-Norte,True,2
01008,Centro-Norte,True,1
01009,Centro-Norte,True,1
01010,Centro-Norte,True,1
01011,Centro-Norte,True,2
02001,Norte,False,3
02002,Norte,False,5
02003,Norte,False,3
02004,Norte,False,5
02005,Norte,False,3
02006,Norte,False,3
02007,Norte,False,1
03001,Norte-Occidente,False,2
03002,Norte-Occidente,False,2
03003,Norte-Occidente,False,3
03008,Norte-Occidente,False,3
03009,Norte-Occidente,False,1
04001,Sur,False,2
04002,Sur,False,3
04003,Sur,False,3
04004,Sur,False,2
04005,Sur,False,2
04006,Sur,False,2
04007,Sur,False,1
04008,Sur,False,1
04009,Sur,False,2
04010,Sur,False,2
04011,Sur,False,2
04012,Sur,False,1
04013,Sur,False,1
05001,Norte,False,1
05002,Norte,False,3
05003,Norte,False,1
05004,Norte,False,2
05005,Norte,False,1
05006,Norte,False,2
05007,Norte,False,1
05008,Norte,False,1
05009,Norte,False,2
05010,Norte,False,2
05011,Norte,False,1
05012,Norte,False,1
05013,Norte,False,1
05014,Norte,False,1
05015,Norte,False,1
05016,Norte,False,1
05017,Norte,False,3
05018,Norte,False,3
05019,Norte,False,1
05020,Norte,False,2
05021,Norte,False,1
05022,Norte,False,2
05023,Norte,False,1
05024,Norte,False,2
05025,Norte,False,3
05026,Norte,False,1
05027,Norte,False,3
05028,Norte,False,2
05029,Norte,False,1
05030,Norte,False,4
05031,Norte,False,2
05032,Norte,False,2
05033,Norte,False,3
05034,Norte,False,1
05035,Norte,False,4
05036,Norte,False,1
05037,Norte,False,1
05038,Norte,False,1
06001,Centro-Norte,False,2
06002,Centro-Norte,False,3
06003,Centro-Norte,False,1
06004,Centro-Norte,False,1
06005,Centro-Norte,False,2
06006,Centro-Norte,False,1
06007,Centro-Norte,False,3
06008,Centro-Norte,False,1
06009,Centro-Norte,False,3
06010,Centro-Norte,False,3
07001,Sur,False,1
07002,Sur,False,1
07003,Sur,False,2
07004,Sur,False,2
07005,Sur,False,2
07006,Sur,False,2
07007,Sur,False,1
07008,Sur,False,2
07009,Sur,False,2
07010,Sur,False,1
07011,Sur,False,1
07012,Sur,False,2
07013,Sur,False,2
07014,Sur,False,2
07015,Sur,False,2
07016,Sur,False,1
07017,Sur,False,2
07018,Sur,False,1
07019,Sur,False,3
07020,Sur,False,2
07021,Sur,False,1
07022,Sur,False,1
07023,Sur,False,3
07024,Sur,False,1
07025,Sur,False,1
07026,Sur,False,2
07027,Sur,False,3
07028,Sur,False,1
07029,Sur,False,1
07030,Sur,False,2
07031,Sur,False,3
07032,Sur,False,2
07033,Sur,False,1
07034,Sur,False,2
07035,Sur,False,1
07036,Sur,False,1
07037,Sur,False,2
07038,Sur,False,1
07039,Sur,False,2
07040,Sur,False,2
07041,Sur,False,2
07042,Sur,False,1
07043,Sur,False,1
07044,Sur,False,2
07045,Sur,False,1
07046,Sur,False,2
07047,Sur,False,2
07048,Sur,False,1
07049,Sur,False,2
07050,Sur,False,1
07051,Sur,False,2
07052,Sur,False,3
07053,Sur,False,1
07054,Sur,False,2
07055,Sur,False,1
07056,Sur,False,1
07057,Sur,False,2
07058,Sur,False,1
07059,Sur,False,3
07060,Sur,False,1
07061,Sur,False,3
07062,Sur,False,1
07063,Sur,False,1
07064,Sur,False,2
07065,Sur,False,3
07066,Sur,False,2
07067,Sur,False,1
07068,Sur,False,2
07069,Sur,False,2
07070,Sur,False,1
07071,Sur,False,2
07072,Sur,False,2
07073,Sur,False,1
07074,Sur,False,2
07075,Sur,False,2
