grouping,status_id,status_name,slope_monthly_per_year,pval_monthly,sig_monthly,slope_annual_per_year,pval_annual,sig_annual,discrepancy
Norte,0,Total,0.643,0.0002,*,0.642,0.0046,*,
Centro-Norte,0,Total,-0.739,0.0252,*,-0.741,0.1121,,sig_mismatch
Norte-Occidente,0,Total,0.577,0.0004,*,0.585,0.0071,*,
Centro,0,Total,2.764,0.0008,*,2.764,0.0223,*,
Sur,0,Total,0.112,0.4263,,0.111,0.5507,,
Norte,7,Not Located,0.226,0.1481,,0.233,0.2719,,
Centro-Norte,7,Not Located,-0.478,0.1106,,-0.477,0.2583,,
Norte-Occidente,7,Not Located,0.44,0.0003,*,0.451,0.0079,*,
Centro,7,Not Located,4.183,0.0,*,4.167,0.0,*,
Sur,7,Not Located,0.305,0.0003,*,0.299,0.0359,*,
Norte,2,Located Alive,1.098,0.0,*,1.113,0.0,*,
Centro-Norte,2,Located Alive,-0.026,0.9017,,-0.018,0.9502,,
Norte-Occidente,2,Located Alive,0.527,0.0,*,0.523,0.0,*,
Centro,2,Located Alive,3.041,0.0005,*,3.089,0.0183,*,
Sur,2,Located Alive,0.212,0.0413,*,0.212,0.1276,,sig_mismatch
Norte,3,Located Dead,0.437,0.0003,*,0.45,0.0011,*,
Centro-Norte,3,Located Dead,-0.205,0.3664,,0.073,0.7409,,sign_flip
Norte-Occidente,3,Located Dead,-0.014,0.8502,,-0.065,0.495,,
Centro,3,Located Dead,0.864,0.0,*,0.874,0.0,*,
Sur,3,Located Dead,0.01,0.9095,,0.042,0.6726,,
Bajio,0,Total,-1.03,0.012,*,-1.02,0.0933,,sig_mismatch
Bajio,7,Not Located,0.156,0.6571,,0.167,0.7246,,
Bajio,2,Located Alive,-0.511,0.3321,,-0.486,0.5458,,
Bajio,3,Located Dead,0.092,0.6752,,0.194,0.352,,
