period,status_a,status_b,jaccard
Jun 2015,Total,Total,1.000
Jun 2015,Total,Not Located,0.247
Jun 2015,Total,Located Alive,0.616
Jun 2015,Total,Located Dead,0.024
Jun 2015,Not Located,Total,0.247
Jun 2015,Not Located,Not Located,1.000
Jun 2015,Not Located,Located Alive,0.066
Jun 2015,Not Located,Located Dead,0.103
Jun 2015,Located Alive,Total,0.616
Jun 2015,Located Alive,Not Located,0.066
Jun 2015,Located Alive,Located Alive,1.000
Jun 2015,Located Alive,Located Dead,0.000
Jun 2015,Located Dead,Total,0.024
Jun 2015,Located Dead,Not Located,0.103
Jun 2015,Located Dead,Located Alive,0.000
Jun 2015,Located Dead,Located Dead,1.000
Jun 2020,Total,Total,1.000
Jun 2020,Total,Not Located,0.218
Jun 2020,Total,Located Alive,0.657
Jun 2020,Total,Located Dead,0.216
Jun 2020,Not Located,Total,0.218
Jun 2020,Not Located,Not Located,1.000
Jun 2020,Not Located,Located Alive,0.106
Jun 2020,Not Located,Located Dead,0.164
Jun 2020,Located Alive,Total,0.657
Jun 2020,Located Alive,Not Located,0.106
Jun 2020,Located Alive,Located Alive,1.000
Jun 2020,Located Alive,Located Dead,0.198
Jun 2020,Located Dead,Total,0.216
Jun 2020,Located Dead,Not Located,0.164
Jun 2020,Located Dead,Located Alive,0.198
Jun 2020,Located Dead,Located Dead,1.000
Jun 2025,Total,Total,1.000
Jun 2025,Total,Not Located,0.555
Jun 2025,Total,Located Alive,0.674
Jun 2025,Total,Located Dead,0.205
Jun 2025,Not Located,Total,0.555
Jun 2025,Not Located,Not Located,1.000
Jun 2025,Not Located,Located Alive,0.381
Jun 2025,Not Located,Located Dead,0.143
Jun 2025,Located Alive,Total,0.674
Jun 2025,Located Alive,Not Located,0.381
Jun 2025,Located Alive,Located Alive,1.000
Jun 2025,Located Alive,Located Dead,0.151
Jun 2025,Located Dead,Total,0.205
Jun 2025,Located Dead,Not Located,0.143
Jun 2025,Located Dead,Located Alive,0.151
Jun 2025,Located Dead,Located Dead,1.000
